"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"1","SP","=~","SP1","SP__SP1",1,0,NA,NA,1,1
"2","SP","=~","SP2","SP__SP2",0.0367465717515796,0.115137825964858,0.319152906037981,0.74961056645834,-0.188919420397782,0.262412563900942
"3","SP","=~","SP3","SP__SP3",0.900591170374462,0.118911517691638,7.57362438775592,3.61932706027801e-14,0.667528878351853,1.13365346239707
"4","SP","=~","SP4","SP__SP4",1.13163244773166,0.0797214200795471,14.1948355486205,0,0.97538133557936,1.28788355988396
"5","SP","=~","SP5","SP__SP5",0.853309277279004,0.125988615637814,6.77290779773352,1.26219035223585e-11,0.606376128166828,1.10024242639118
"6","CR","=~","CR1","CR__CR1",1,0,NA,NA,1,1
"7","CR","=~","CR2","CR__CR2",1.27248481027628,0.0968622899563582,13.1370506607845,0,1.08263821050174,1.46233141005082
"8","CR","=~","CR3","CR__CR3",1.32636343116538,0.0954505365468113,13.8958195432972,0,1.13928381722861,1.51344304510216
"9","CR","=~","CR4","CR__CR4",-0.0390806219864775,0.142750982307146,-0.273767797284862,0.784263072507535,-0.318867406066197,0.240706162093242
"10","CR","=~","CR5","CR__CR5",-0.393976297387684,0.185232200398919,-2.12693201581156,0.033425732267099,-0.75702473894667,-0.0309278558286974
"11","CD","=~","CD1","CD__CD1",1,0,NA,NA,1,1
"12","CD","=~","CD2","CD__CD2",0.960936470478823,0.138121073283677,6.95720390548388,3.47100126418809e-12,0.690224141336799,1.23164879962085
"13","CD","=~","CD3","CD__CD3",-0.336429646513607,0.167553677930004,-2.00789174352921,0.0446547967472053,-0.664828820733638,-0.00803047229357601
"14","CD","=~","CD4","CD__CD4",1.01331117311039,0.101903067692318,9.94387309487023,0,0.813584830519294,1.21303751570148
"15","CD","=~","CD5","CD__CD5",-0.380830723932219,0.16329917994354,-2.33210432571609,0.0196952035488873,-0.700891235326483,-0.0607702125379553
"16","SP1","~~","SP1","VAR_SP1",0.408190697819715,0.0830737479727809,4.91359433973604,8.94216740432441e-07,0.245369143732307,0.571012251907123
"17","SP2","~~","SP2","VAR_SP2",0.816073741168022,0.143161976101126,5.7003525893745,1.195598797743e-08,0.535481424054231,1.09666605828181
"18","SP3","~~","SP3","VAR_SP3",0.73643192504032,0.137789856997538,5.34460185304844,9.06160113611776e-08,0.466368767890221,1.00649508219042
"19","SP4","~~","SP4","VAR_SP4",0.164955425909163,0.0549462470759358,3.00212361512506,0.00268103282904142,0.0572627605546897,0.272648091263637
"20","SP5","~~","SP5","VAR_SP5",0.857014502698665,0.157906478286671,5.42735492550723,5.71953218120314e-08,0.547523492331234,1.1665055130661
"21","CR1","~~","CR1","VAR_CR1",1.00272245476346,0.183146321612506,5.47498003746418,4.37560934152259e-08,0.643762260501962,1.36168264902496
